Date,Closing Price,MonthlyGainOrLoss
1-Apr-93,443.08,-0.015727741
1-Mar-93,450.16,0.019153271
1-Feb-93,441.7,0.014865703
1-Jan-93,435.23,-0.000941144
1-Dec-92,435.64,0.030271497
1-Nov-92,422.84,0.025066667
1-Oct-92,412.5,-0.014289811
1-Sep-92,418.48,0.00131601
1-Aug-92,417.93,0.006938923
1-Jul-92,415.05,0.016606657
1-Jun-92,408.27,-0.015766254
1-May-92,414.81,0.018163521
1-Apr-92,407.41,0.000122742
1-Mar-92,407.36,-0.012604227
1-Feb-92,412.56,-0.008459912
1-Jan-92,416.08,0.070963424
1-Dec-91,388.51,0.006711235
1-Nov-91,385.92,-0.00248139
1-Oct-91,386.88,-0.000826446
1-Sep-91,387.2,-0.005649718
1-Aug-91,389.4,0.024116982
1-Jul-91,380.23,0.005128341
1-Jun-91,378.29,0.000793672
1-May-91,377.99,-0.004451117
1-Apr-91,379.68,0.019877512
1-Mar-91,372.28,0.027659692
1-Feb-91,362.26,0.11296814
1-Jan-91,325.49,-0.00991635
1-Dec-90,328.75,0.042690856
1-Nov-90,315.29,0.02660198
1-Oct-90,307.12,-0.02628325
1-Sep-90,315.41,-0.046379441
1-Aug-90,330.75,-0.081326556
1-Jul-90,360.03,-0.000998918
1-Jun-90,360.39,0.028950749
1-May-90,350.25,0.035691052
1-Apr-90,338.18,-0.000827276
1-Mar-90,338.46,0.024239673
1-Feb-90,330.45,-0.028002471
1-Jan-90,339.97,-0.024756168
1-Dec-89,348.6,0.024691358
1-Nov-89,340.2,-0.020725389
1-Oct-89,347.4,0.000287936
1-Sep-89,347.3,0.002019619
1-Aug-89,346.6,0.044290449
1-Jul-89,331.9,0.025332098
1-Jun-89,323.7,0.031220134
1-May-89,313.9,0.038372478
1-Apr-89,302.3,0.032798087
1-Mar-89,292.7,-0.004421769
1-Feb-89,294,0.030133146
1-Jan-89,285.4,0.032188065
1-Dec-88,276.5,0.020295203
1-Nov-88,271,-0.023071377
1-Oct-88,277.4,0.035074627
1-Sep-88,268,0.016306409
1-Aug-88,263.7,-0.02006689
1-Jul-88,269.1,-0.005910602
1-Jun-88,270.7,0.057008981
1-May-88,256.1,-0.024752475
1-Apr-88,262.6,-0.011667294
1-Mar-88,265.7,0.029445951
1-Feb-88,258.1,0.030339321
1-Jan-88,250.5,0.039419087
1-Dec-87,241,-0.016326531
1-Nov-87,245,-0.125624554
1-Oct-87,280.2,-0.120803263
1-Sep-87,318.7,-0.032483303
1-Aug-87,329.4,0.062237988
1-Jul-87,310.1,0.028865295
1-Jun-87,301.4,0.042545832
1-May-87,289.1,-0.000691324
1-Apr-87,289.3,-0.010940171
1-Mar-87,292.5,0.041295835
1-Feb-87,280.9,0.062003781
1-Jan-87,264.5,0.063958166
1-Dec-86,248.6,0.014279886
1-Nov-86,245.1,0.032434709
1-Oct-86,237.4,-0.003776752
1-Sep-86,238.3,-0.027346939
1-Aug-86,245,0.019983347
1-Jul-86,240.2,-0.020790868
1-Jun-86,245.3,0.02851153
1-May-86,238.5,0.00210084
1-Apr-86,238,0.024537236
1-Mar-86,232.3,0.058796718
1-Feb-86,219.4,0.053794428
1-Jan-86,208.2,0.004341534
1-Dec-85,207.3,0.049620253
1-Nov-85,197.5,0.060687433
1-Oct-85,186.2,0.011406844
1-Sep-85,184.1,-0.022304833
1-Aug-85,188.3,-0.021818182
1-Jul-85,192.5,0.019057702
1-Jun-85,188.9,0.021633315
1-May-85,184.9,0.023809524
1-Apr-85,180.6,0.006688963
1-Mar-85,179.4,-0.008291874
1-Feb-85,180.9,0.054195804
1-Jan-85,171.6,0.043161094
1-Dec-84,164.5,-0.010823812
1-Nov-84,166.3,0.009101942
1-Oct-84,164.8,-0.00782661
1-Sep-84,166.1,0.010340633
1-Aug-84,164.4,0.088021178
1-Jul-84,151.1,-0.013063357
1-Jun-84,153.1,-0.022349936
1-May-84,156.6,-0.006345178
1-Apr-84,157.6,0.001270648
1-Mar-84,157.4,0.000635728
1-Feb-84,157.3,-0.0546875
1-Jan-84,166.4,0.01216545
1-Dec-83,164.4,-0.004842615
1-Nov-83,165.2,-0.014907573
1-Oct-83,167.7,0.002990431
1-Sep-83,167.2,0.02955665
1-Aug-83,162.4,-0.02754491
1-Jul-83,167,0.003605769
1-Jun-83,166.4,0.014015844
1-May-83,164.1,0.040583386
1-Apr-83,157.7,0.038183015
1-Mar-83,151.9,0.034741144
1-Feb-83,146.8,0.017325017
1-Jan-83,144.3,0.035150646
1-Dec-82,139.4,0.009413469
1-Nov-82,138.1,0.040693293
1-Oct-82,132.7,0.084150327
1-Sep-82,122.4,0.115770283
1-Aug-82,109.7,0.00274223
1-Jul-82,109.4,-0.002734731
1-Jun-82,109.7,-0.057560137
1-May-82,116.4,0.000859845
1-Apr-82,116.3,0.049638989
1-Mar-82,110.8,-0.03231441
1-Feb-82,114.5,-0.023870418
1-Jan-82,117.3,-0.052504039
1-Dec-81,123.8,0.007323027
1-Nov-81,122.9,0.025876461
1-Oct-81,119.8,0.012679628
1-Sep-81,118.3,-0.087191358
